dtto,municipio,secc,PAN_UDC,PRI_PVEM PNA_PPC,PRI_PNA PSD,PRI_PNA PPC,PRI,PRD,PT,PVEM,CONV,PNA,PSDC,PPC,CC1,VALIDOS,NULOS,TOTAL
01,SALTILLO,0731,1132,0,0,0,1433,24,52,26,16,3,5,5,0,2696,88,2784
01,SALTILLO,0733,815,0,0,0,583,6,9,17,10,7,1,1,1,1450,43,1493
01,SALTILLO,0734,1860,0,0,0,1086,30,46,26,5,20,1,5,4,3083,93,3176
01,SALTILLO,0740,831,0,0,0,350,6,14,8,3,4,1,0,6,1223,49,1272
01,SALTILLO,0751,1228,0,0,0,857,40,46,40,8,12,4,2,2,2239,79,2318
01,SALTILLO,0752,1999,0,0,0,1794,73,111,69,12,26,7,8,15,4114,169,4283
01,SALTILLO,0753,471,0,0,0,491,21,22,19,5,3,1,2,4,1039,51,1090
01,SALTILLO,0754,276,0,0,0,706,10,8,7,4,3,0,0,6,1020,38,1058
01,SALTILLO,0755,908,0,0,0,2590,37,43,39,9,10,1,5,7,3649,113,3762
01,SALTILLO,0756,265,0,0,0,552,16,13,4,5,1,5,0,0,861,29,890
01,SALTILLO,0757,431,0,0,0,797,27,39,20,8,13,1,2,5,1343,55,1398
01,SALTILLO,0758,344,0,0,0,518,21,14,12,5,2,3,3,0,922,40,962
01,SALTILLO,0759,582,0,0,0,637,28,14,19,2,10,3,2,2,1299,32,1331
01,SALTILLO,0760,185,0,0,0,291,13,9,9,5,3,1,1,2,519,17,536
01,SALTILLO,0761,243,0,0,0,401,12,2,10,10,6,1,0,1,686,21,707
01,SALTILLO,0774,243,0,0,0,463,14,12,14,6,6,5,1,4,768,37,805
01,SALTILLO,0775,248,0,0,0,387,11,11,16,0,13,6,0,2,694,24,718
01,SALTILLO,0776,440,0,0,0,439,20,20,8,0,4,1,1,1,934,36,970
01,SALTILLO,0777,868,0,0,0,2456,38,50,40,13,12,6,2,19,3504,96,3600
01,SALTILLO,0778,381,0,0,0,442,15,14,16,4,5,4,1,2,884,26,910
01,SALTILLO,0779,334,0,0,0,414,18,19,23,4,12,2,2,2,830,32,862
01,SALTILLO,0780,258,0,0,0,371,15,9,14,4,2,1,1,6,681,16,697
01,SALTILLO,0799,222,0,0,0,292,7,7,10,6,0,0,0,2,546,14,560
01,SALTILLO,0800,466,0,0,0,560,23,19,15,6,10,2,1,3,1105,43,1148
01,SALTILLO,0801,356,0,0,0,472,12,16,10,7,11,0,1,4,889,18,907
01,SALTILLO,0802,127,0,0,0,259,8,3,7,5,1,1,1,1,413,12,425
01,SALTILLO,0803,136,0,0,0,410,12,3,6,3,3,3,0,2,578,21,599
01,SALTILLO,0804,129,0,0,0,455,9,8,10,2,2,1,0,0,616,23,639
01,SALTILLO,0805,135,0,0,0,465,6,14,8,2,4,1,0,0,635,20,655
01,SALTILLO,0806,155,0,0,0,207,3,4,11,0,4,0,0,0,384,11,395
01,SALTILLO,0829,350,0,0,0,722,19,22,4,0,1,0,0,13,1131,19,1150
01,SALTILLO,0830,1888,0,0,0,6585,105,117,133,62,43,10,16,21,8980,243,9223
01,SALTILLO,0831,249,0,0,0,714,10,10,18,6,4,1,0,1,1013,22,1035
01,SALTILLO,0832,395,0,0,0,1067,24,29,22,5,6,11,1,3,1563,47,1610
01,SALTILLO,0833,325,0,0,0,466,20,22,10,9,6,3,1,2,864,38,902
01,SALTILLO,0867,284,0,0,0,573,13,12,19,6,3,1,0,2,913,27,940
01,SALTILLO,0868,742,0,0,0,1600,46,34,30,13,13,6,3,1,2488,79,2567
01,SALTILLO,0869,857,0,0,0,3464,53,50,66,25,31,5,7,12,4570,127,4697
01,SALTILLO,0870,181,0,0,0,353,10,8,9,2,2,7,1,4,577,15,592
01,SALTILLO,0904,163,0,0,0,621,21,10,11,7,1,2,1,0,837,27,864
01,SALTILLO,0905,709,0,0,0,2219,31,40,41,17,9,1,2,10,3079,93,3172
01,SALTILLO,0906,251,0,0,0,792,18,15,16,3,4,0,0,1,1100,28,1128
01,SALTILLO,0947,146,0,0,0,352,8,8,15,5,1,1,4,0,540,18,558
01,SALTILLO,0948,125,0,0,0,391,16,12,15,15,3,2,0,2,581,20,601
01,SALTILLO,0949,562,0,0,0,1855,37,23,41,14,9,4,4,12,2561,67,2628
01,SALTILLO,0950,324,0,0,0,1427,16,18,20,13,8,2,1,3,1832,56,1888
01,SALTILLO,0951,100,0,0,0,489,9,13,1,3,3,0,0,0,618,14,632
02,SALTILLO,0834,227,0,0,0,787,21,18,14,3,2,3,1,0,1076,32,1108
02,SALTILLO,0835,113,0,0,0,505,3,8,5,3,3,1,1,0,642,21,663
02,SALTILLO,0836,252,0,0,0,713,7,19,10,5,2,2,2,10,1022,19,1041
02,SALTILLO,0837,127,0,0,0,408,12,8,7,3,5,1,1,0,572,21,593
02,SALTILLO,0838,179,0,0,0,391,7,10,6,5,3,0,2,1,604,21,625
02,SALTILLO,0863,187,0,0,0,482,18,12,10,2,3,1,2,3,720,21,741
