seccion,munn,disn14,lisnom,pan,pri,pri-pvem-panal-psd-p1c-pj-prc-pcp,prd,pt,pvem,udc,pmc,panal,psd,p1c,pj,prc,pro,pcp,indep,nr,validos,nul,total
731,30,1,5261,613,1037,0,18,27,32,8,9,8,6,4,9,0,3,8,14,11,1807,59,1866
733,30,1,2519,390,315,0,9,6,4,5,4,4,0,1,1,1,1,7,7,3,758,28,786
734,30,1,6211,1197,656,0,25,26,22,23,13,10,6,1,5,1,0,6,19,3,2013,73,2086
740,30,1,2020,399,191,0,7,13,4,2,3,3,0,2,8,0,1,1,7,0,641,22,663
751,30,1,4096,641,430,0,26,21,14,8,15,18,10,0,6,0,7,4,19,3,1222,75,1297
752,30,1,7444,1031,1024,0,46,47,25,13,19,21,3,2,15,0,5,13,42,9,2315,117,2432
753,30,1,1820,289,309,0,12,8,6,7,2,6,1,1,0,0,4,10,8,10,673,30,703
754,30,1,2052,238,607,0,10,10,8,3,2,3,0,0,4,1,0,4,1,8,899,24,923
755,30,1,8387,670,1745,0,31,33,41,20,10,13,3,8,5,3,1,6,16,21,2626,90,2716
756,30,1,1466,200,404,0,10,14,4,3,1,1,0,2,0,1,0,3,5,1,649,18,667
757,30,1,2526,324,500,0,16,12,15,5,8,4,1,0,4,0,1,4,15,3,912,37,949
758,30,1,1503,173,291,0,5,22,0,7,6,5,0,0,0,1,0,2,4,2,518,18,536
759,30,1,2141,303,375,0,10,7,8,1,9,2,1,4,5,0,5,1,7,3,741,29,770
760,30,1,894,109,157,0,7,3,5,1,2,3,0,1,3,1,1,1,4,1,299,24,323
761,30,1,1047,129,221,0,7,11,5,0,1,2,0,4,2,0,1,0,5,2,390,18,408
774,30,1,1201,129,328,0,7,4,5,5,3,2,4,1,0,1,0,2,6,1,498,32,530
775,30,1,1146,148,232,0,3,3,4,2,3,1,7,0,2,0,1,1,6,4,417,22,439
776,30,1,1434,208,224,0,15,11,4,8,2,11,0,1,3,0,2,3,11,2,505,32,537
777,30,1,9552,618,2219,0,50,35,34,12,14,11,7,8,16,11,6,21,15,33,3110,106,3216
778,30,1,1366,168,251,0,5,9,9,9,4,3,2,0,1,1,1,2,8,1,474,14,488
779,30,1,1355,153,237,0,17,11,10,2,1,1,1,0,0,0,1,0,7,2,443,16,459
780,30,1,1065,144,241,0,14,4,2,3,0,2,3,0,5,0,1,2,6,0,427,21,448
799,30,1,771,143,135,0,6,11,3,1,2,1,0,1,1,0,1,1,1,0,307,16,323
800,30,1,1945,270,350,0,15,22,10,8,4,7,6,2,1,0,2,2,11,3,713,51,764
801,30,1,1352,220,251,0,7,13,3,4,2,3,0,1,5,0,1,1,12,6,529,20,549
802,30,1,614,71,171,0,1,8,4,2,0,3,0,0,3,1,1,0,2,0,267,1,268
803,30,1,850,80,280,0,6,10,4,2,2,4,1,0,0,2,1,0,0,0,392,9,401
804,30,1,995,77,295,0,2,4,7,2,1,1,3,0,1,0,1,0,3,0,397,10,407
