"DTO_LOC,N,12,0","CVE_DEL,N,12,0","NOM_DEL,C,28","SECCION,N,12,0","CASILLA,C,13","LIS_NOM,N,9,0","APC,N,8,0","PRI,N,7,0","PRD,N,8,0","PT,N,6,0","CDPPN,N,7,0","PCD,N,7,0","PSN,N,5,0","PARM,N,7,0","PAS,N,6,0","DSPPN,N,7,0","V_CC,N,7,0","TOTV_CC,N,10,0","V_BLAN,N,8,0","V_NUL,N,7,0","OBSERVACIO,C,18"
1,5,GUSTAVO A. MADERO,821,B,692,124,120,160,16,0,10,3,4,1,8,5,195,10,9,
1,5,GUSTAVO A. MADERO,821,C,693,113,101,124,14,0,1,2,3,2,6,3,146,10,5,
1,5,GUSTAVO A. MADERO,822,B,637,86,78,135,11,0,5,0,3,0,6,5,156,0,21,
1,5,GUSTAVO A. MADERO,822,C,638,88,108,114,23,2,6,2,8,1,11,4,152,5,8,
1,5,GUSTAVO A. MADERO,823,B,693,88,102,132,29,0,11,1,6,2,6,4,179,13,8,
1,5,GUSTAVO A. MADERO,823,C,693,109,101,123,22,1,7,1,7,0,8,7,161,5,3,
1,5,GUSTAVO A. MADERO,824,B,578,97,72,111,18,2,0,0,2,0,16,1,132,4,9,
1,5,GUSTAVO A. MADERO,824,C1,578,100,88,127,13,2,3,0,4,0,7,0,145,2,8,
1,5,GUSTAVO A. MADERO,824,C2,578,121,73,116,17,2,11,0,5,0,16,5,151,2,9,
1,5,GUSTAVO A. MADERO,825,B,564,103,79,144,10,0,4,2,2,0,5,0,160,4,8,
1,5,GUSTAVO A. MADERO,825,C,564,102,77,129,4,0,2,4,4,0,11,0,139,0,0,
1,5,GUSTAVO A. MADERO,826,B,487,76,87,93,11,0,3,0,2,1,4,2,110,5,7,
1,5,GUSTAVO A. MADERO,826,C,488,76,85,82,6,0,0,0,2,1,13,6,95,4,7,
1,5,GUSTAVO A. MADERO,827,B,615,107,85,123,9,3,6,0,2,1,12,8,150,12,7,
1,5,GUSTAVO A. MADERO,827,C1,615,108,79,167,0,0,0,0,1,0,9,0,167,0,9,
1,5,GUSTAVO A. MADERO,827,C2,616,112,62,136,18,1,7,1,1,0,5,0,163,1,6,
1,5,GUSTAVO A. MADERO,828,B,658,136,108,91,12,2,6,0,4,2,26,4,117,9,9,
1,5,GUSTAVO A. MADERO,828,C,658,134,108,114,12,0,11,1,6,2,16,0,140,16,7,
1,5,GUSTAVO A. MADERO,829,B,577,114,87,97,15,0,9,0,2,1,10,3,125,9,4,
1,5,GUSTAVO A. MADERO,829,C,577,143,78,82,10,0,12,3,6,1,9,2,110,3,4,
1,5,GUSTAVO A. MADERO,830,B,596,134,95,105,12,0,11,2,3,1,15,2,133,9,11,
1,5,GUSTAVO A. MADERO,830,C,596,139,78,96,18,0,16,1,2,0,10,0,131,6,5,
1,5,GUSTAVO A. MADERO,831,B,683,144,96,133,14,2,10,1,5,2,3,0,162,4,10,
1,5,GUSTAVO A. MADERO,831,C,684,147,94,137,11,1,14,1,6,0,9,5,169,7,3,
1,5,GUSTAVO A. MADERO,832,B,596,123,85,100,15,4,11,0,3,3,12,2,135,8,4,
1,5,GUSTAVO A. MADERO,832,C,596,100,73,150,16,1,8,1,3,1,12,3,180,6,3,
1,5,GUSTAVO A. MADERO,833,B,725,111,111,167,10,0,8,0,5,0,16,8,193,0,8,
1,5,GUSTAVO A. MADERO,833,C,725,113,119,151,16,1,10,1,2,1,16,8,188,3,22,
1,5,GUSTAVO A. MADERO,834,B,531,106,80,109,12,4,4,1,1,2,16,4,136,3,11,
1,5,GUSTAVO A. MADERO,834,C,532,103,83,112,8,0,5,2,2,1,16,2,130,2,12,
1,5,GUSTAVO A. MADERO,835,B,710,156,78,130,14,4,8,0,5,0,12,3,159,9,13,
1,5,GUSTAVO A. MADERO,835,C,710,136,89,127,10,4,9,3,10,1,15,0,154,1,20,
1,5,GUSTAVO A. MADERO,836,B,464,103,98,100,0,0,0,0,4,0,9,0,100,6,2,
1,5,GUSTAVO A. MADERO,836,C,465,85,89,87,7,0,4,0,3,4,8,3,105,1,3,
1,5,GUSTAVO A. MADERO,837,B,587,110,81,137,13,2,8,2,2,3,12,3,168,6,11,
1,5,GUSTAVO A. MADERO,837,C,587,114,79,129,18,0,15,0,5,1,8,4,167,0,7,
1,5,GUSTAVO A. MADERO,838,B,546,105,79,110,19,11,3,1,1,2,14,2,148,4,5,
1,5,GUSTAVO A. MADERO,838,C,546,103,69,129,15,0,5,0,1,0,19,4,153,2,10,
1,5,GUSTAVO A. MADERO,839,B,665,135,78,137,19,1,8,0,5,1,22,3,169,1,7,
1,5,GUSTAVO A. MADERO,839,C,665,146,78,149,21,2,14,0,5,0,27,5,191,0,8,
1,5,GUSTAVO A. MADERO,840,B,568,110,66,143,11,0,8,1,6,0,12,5,168,2,5,
1,5,GUSTAVO A. MADERO,840,C,569,107,78,127,15,2,6,1,2,2,5,2,155,9,4,
1,5,GUSTAVO A. MADERO,841,B,738,129,105,164,11,0,11,0,1,1,10,0,187,0,9,
1,5,GUSTAVO A. MADERO,841,C,738,150,101,160,13,2,19,2,4,0,8,0,196,4,15,
1,5,GUSTAVO A. MADERO,842,B,521,94,58,129,14,2,8,0,4,0,6,0,153,8,2,
