"disn","munn","mun","secn","lisnom","tipo","pan","pri","prd","pc","pt","pvem","pps","pdm","nr","nul","tot"
13,1,"ABASOLO",1,567,"B",150,65,29,101,65,0,0,0,0,7,417
13,1,"ABASOLO",1,567,"C1",143,51,29,83,74,0,0,0,0,8,388
13,1,"ABASOLO",2,701,"B",184,71,22,157,51,0,0,0,0,13,498
13,1,"ABASOLO",2,702,"C1",133,96,19,181,49,0,0,0,0,10,488
13,1,"ABASOLO",3,611,"B",181,56,21,71,89,0,0,0,0,11,429
13,1,"ABASOLO",3,611,"C1",185,68,13,85,73,0,0,0,0,15,439
13,1,"ABASOLO",4,567,"B",136,56,21,96,88,0,0,0,0,10,407
13,1,"ABASOLO",4,568,"C1",151,43,15,96,88,0,0,0,0,17,410
13,1,"ABASOLO",4,0,"ES",0,0,0,0,0,0,0,0,0,0,0
13,1,"ABASOLO",5,489,"B",110,59,32,78,71,0,0,0,0,8,358
13,1,"ABASOLO",5,489,"C1",103,58,35,75,69,0,0,0,0,9,349
13,1,"ABASOLO",6,580,"B",145,64,27,77,56,0,0,0,0,0,369
13,1,"ABASOLO",6,580,"C1",182,59,46,70,29,0,0,0,0,24,410
13,1,"ABASOLO",7,558,"B",126,53,20,98,65,0,0,0,0,8,370
13,1,"ABASOLO",7,558,"C1",143,51,26,93,45,0,0,0,0,6,364
13,1,"ABASOLO",8,632,"B",156,67,30,104,93,0,0,0,0,0,450
13,1,"ABASOLO",8,633,"C1",157,44,39,113,92,0,0,0,0,12,457
13,1,"ABASOLO",9,663,"B",196,67,41,84,75,0,0,0,0,7,470
13,1,"ABASOLO",9,663,"C1",149,67,37,81,75,0,0,0,0,40,449
13,1,"ABASOLO",10,576,"B",113,74,13,144,49,0,0,0,0,14,407
13,1,"ABASOLO",10,577,"C1",135,85,16,153,56,0,0,0,0,2,447
13,1,"ABASOLO",11,456,"B",118,59,18,74,59,0,0,0,0,0,328
13,1,"ABASOLO",11,457,"C1",99,65,33,71,61,0,0,0,0,4,333
13,1,"ABASOLO",12,520,"B",107,162,14,16,33,0,0,0,0,16,348
13,1,"ABASOLO",12,521,"C1",97,165,21,7,35,0,0,0,0,0,325
13,1,"ABASOLO",13,524,"B",8,124,8,9,162,0,0,0,0,11,322
13,1,"ABASOLO",14,376,"B",37,47,13,6,101,0,0,0,0,13,217
13,1,"ABASOLO",15,521,"B",5,84,31,38,126,0,0,0,0,18,302
13,1,"ABASOLO",16,522,"B",11,125,71,92,41,0,0,0,0,0,340
13,1,"ABASOLO",16,523,"C1",11,161,41,57,39,0,0,0,0,23,332
13,1,"ABASOLO",17,419,"B",10,103,142,12,12,0,0,0,0,17,296
13,1,"ABASOLO",17,419,"C1",16,105,121,28,17,0,0,0,0,18,305
13,1,"ABASOLO",18,582,"B",54,154,63,83,19,0,0,0,0,12,385
13,1,"ABASOLO",19,388,"B",16,54,93,33,47,0,0,0,0,8,251
13,1,"ABASOLO",19,389,"C1",18,76,56,26,71,0,0,0,0,21,268
