DISTRITO,CASILLA,,PAN,PRI,PRD-PT,PVEM,CONVERGENCIA,NUEVA ALIANZA,PARTIDO SOCIAL DEMÓCRATO,CANDIDATOS NO REGISTRADOS,NULOS,TOTAL,,
2,501,B,156,221,19,0,0,9,2,0,6,413, ,
2,501,C1,130,262,20,0,1,3,5,1,7,429, ,
2,501,C2,144,245,13,0,0,7,2,0,5,416, ,
2,502,B,176,205,3,0,0,6,1,0,13,404, ,
2,502,C1,175,183,8,0,2,7,2,0,8,385, ,
2,503,B,136,162,8,0,2,9,2,0,10,329, ,
2,503,C1,143,147,12,0,0,5,1,0,4,312, ,
2,503,C2,150,148,9,0,1,6,3,0,7,324, ,
2,504,B,192,248,10,0,1,7,3,0,11,472, ,
2,504,C1,223,179,8,0,2,10,3,0,12,437, ,
2,505,B,223,162,8,0,0,2,3,0,7,405, ,
2,505,C1,217,191,13,0,2,6,2,0,6,437, ,
2,505,C2,172,186,13,0,2,5,2,0,10,390, ,
2,505,C3,190,176,14,0,2,3,4,0,10,399, ,
2,506,B,194,162,11,0,0,7,4,0,4,382, ,
2,506,C1,189,142,10,0,0,4,5,0,9,359, ,
2,506,C2,194,128,14,0,0,7,2,0,11,356, ,
2,507,B,148,155,7,0,0,6,1,0,2,319, ,
2,507,C1,167,141,8,0,1,3,2,0,0,322, ,
2,508,B,132,150,10,0,0,3,0,0,6,301, ,
2,508,C1,112,145,12,0,0,1,2,0,5,277, ,
2,509,B,149,217,12,0,0,6,1,0,16,401, ,
2,509,C1,207,225,9,0,0,12,6,0,13,472, ,
2,509,C2,176,214,4,0,3,6,1,0,4,408, ,
2,510,B,173,168,13,0,0,16,2,0,5,377, ,
2,510,C1,169,164,10,0,0,10,5,0,4,362, ,
2,511,B,323,65,13,0,3,5,1,0,31,441, ,
2,512,B,159,118,38,0,0,3,1,0,8,327, ,
2,512,C1,165,111,40,0,0,4,3,0,12,335, ,
2,512,C2,142,111,50,0,0,2,2,0,8,315, ,
2,513,B,104,111,3,0,0,2,5,0,5,230, ,
2,514,B,65,38,11,0,0,2,2,0,8,126, ,
2,515,B,314,97,11,0,1,8,3,0,14,448, ,
2,515,C1,319,93,7,0,0,2,1,0,14,436, ,
2,515,C2,349,67,5,0,1,3,2,1,7,435, ,
2,515,C3,317,80,16,0,2,6,5,0,21,447, ,
2,517,B,28,21,1,0,1,0,2,0,1,54, ,
2,518,B,230,26,1,0,0,3,4,0,11,275, ,
2,519,B,115,104,4,0,1,1,0,0,4,229, ,
2,520,B,213,170,11,0,0,7,2,0,19,422, ,
