sep=|
20:11 horas (UTC-5)
lunes 8 de junio de 2015
ACTAS_CAPTURADAS|ACTAS_POR_CAPTURAR|PORCENTAJE_ACTAS_CAPTURADAS|ACTAS_CONTABILIZADAS|ACTAS_NO_CONTABILIZADAS|PARTICIPACION_CIUDADANA
1,761|563|75.77|1,748|13|53.071

ID_ESTADO|ESTADO|ID_MUNICIPIO|MUNICIPIO|SECCION|ID_CASILLA|TIPO_CASILLA|EXT_CONTIGUA|UBICACION_CASILLA|TIPO_ACTA|NUM_BOLETAS_SOBRANTES|TOTAL_CIUDADANOS_VOTARON|NUM_BOLETAS_EXTRAIDAS|PAN|PRI|PRD|PT|PVEM|MOVIMIENTO_CIUDADANO|NUEVA_ALIANZA|PSD|MORENA|ES|PH|C_PRI_PV|C_PRI_PANAL|C_PV_PANAL|C_PRI_PV_PANAL|C_PRD_PT|CAND_IND_1|NO_REGISTRADOS|NULOS|TOTAL_VOTOS|LISTA_NOMINAL|OBSERVACIONES|CONTABILIZADA|CRYT|SHA|HORA_ACOPIO|HORA_CAPTURA|HORA_REGISTRO
17|MORELOS|1|AMACUZAC|1|1|B|0|2|14| | | | | | | | | | | | | | | | | | |-|-| | | |714| | | | | | | |
17|MORELOS|1|AMACUZAC|1|1|C|0|2|14| | | | | | | | | | | | | | | | | | |-|-| | | |713| | | | | | | |
17|MORELOS|1|AMACUZAC|2|1|B|0|2|14|227|297|293|4|60|17|38|22|10|11|70|0|25|25|2|3|1|0|-|-|Sin dato|9|297|505| |1| |328c6acc0a83b88a8a5b10897e0e02e6a4f9cb34f333b0906a8f143b4e211ad7|2015-06-08 01:10:00.000|2015-06-08 02:45:38.167|2015-06-08 02:45:41.856|
17|MORELOS|1|AMACUZAC|2|1|C|0|2|14|194|330|332|8|50|15|36|20|9|12|111|0|36|24|3|2|2|3|-|-|0|6|337|505| |1| |812a1a7d0e321efa8081581b7e1d4cd07979433d1c73f84ed11e3d9870370025|2015-06-08 00:41:00.000|2015-06-08 01:53:53.686|2015-06-08 01:53:57.814|
17|MORELOS|1|AMACUZAC|3|1|B|0|2|14|189|420|424|2|94|9|70|39|11|17|67|2|51|41|1|1|0|5|-|-|1|12|423|589| |1| |39e0e8583810a83e1980d3f710bf64790e4189f412092a5ee8d1a5d7453be1b2|2015-06-08 03:03:00.000|2015-06-08 05:40:06.470|2015-06-08 05:40:09.909|
17|MORELOS|1|AMACUZAC|3|1|C|0|2|14|168|441|440|9|108|18|59|34|9|17|66|2|44|53|1|2|2|3|-|-|1|12|440|589| |1| |6ba71b8cc67becbf1fa4ca55738f8229b29e40814f1a576dc2ab0c2f64bfcd09|2015-06-08 02:11:00.000|2015-06-08 04:06:50.276|2015-06-08 04:06:53.511|
17|MORELOS|1|AMACUZAC|4|1|B|0|2|14| | | | | | | | | | | | | | | | | | |-|-| | | |563| | | | | | | |
17|MORELOS|1|AMACUZAC|4|1|C|0|2|14|187|393|397|1|75|6|60|50|19|15|66|1|26|50|5|1|0|2|-|-|Sin dato|20|397|563| |1| |a5f50bce68a702282e7038f746337ee2f3bf1577c58192d8071d408dacc3772a|2015-06-08 00:24:00.000|2015-06-08 01:33:35.328|2015-06-08 01:33:40.561|
17|MORELOS|1|AMACUZAC|4|1|E|0|2|14|159|257|261|3|61|11|22|31|3|8|69|0|31|9|2|3|0|0|-|-|0|8|261|399| |1| |02a8ff76eb87ae6d55998e11d95bb6d937b0990f1e48b581c13c9a287d293a1a|2015-06-07 22:33:00.000|2015-06-07 23:08:57.427|2015-06-07 23:09:00.931|
17|MORELOS|1|AMACUZAC|5|1|B|0|2|14| | | | | | | | | | | | | | | | | | |-|-| | | |577| | | | | | | |
17|MORELOS|1|AMACUZAC|6|1|B|0|2|14|192|395|Ilegible|3|88|3|63|40|2|5|114|0|43|22|3|0|2|0|-|-|0|9|397|569| |1| |dbf38ab1933ea0c8b3195bd8375a41810a31ae61413e6b0370476cac1bb90fa7|2015-06-08 02:09:00.000|2015-06-08 04:07:03.446|2015-06-08 04:07:07.148|
17|MORELOS|1|AMACUZAC|6|1|C|0|2|14| | | | | | | | | | | | | | | | | | |-|-| | | |569| | | | | | | |
17|MORELOS|1|AMACUZAC|6|2|C|0|2|14| | | | | | | | | | | | | | | | | | |-|-| | | |569| | | | | | | |
17|MORELOS|1|AMACUZAC|7|1|B|0|2|14|187|361|366|1|73|7|19|22|3|25|109|7|12|77|0|0|1|3|-|-|0|7|366|532| |1| |5245d3594c975730d6faf307765cc60ffefa0cfa19b986cee0dbc0c7778b597b|2015-06-07 23:53:00.000|2015-06-08 01:05:00.318|2015-06-08 01:05:05.811|
17|MORELOS|1|AMACUZAC|7|1|C|0|2|14|186|363|366|0|65|17|5|21|117|34|5|12|62|0|1|3|2|129|-|-|16|366|855|531|Excede lista nominal|0| |acf7ba73393c1dc05a0afafea641adcb5b168874f6f42f8a3fd97006b6a905a6|2015-06-08 00:52:00.000|2015-06-08 02:27:37.641|2015-06-08 02:27:39.812|
17|MORELOS|1|AMACUZAC|8|1|B|0|2|14|Sin dato|Sin dato|Sin dato|1|82|4|4|30|7|37|102|4|13|106|2|2|0|10|-|-|Sin dato|12|416|593| |1| |c893de16fb9c80e7b8efc7949d5b7eae81cf146d7988c4dc298cae069962e9ab|2015-06-08 01:23:00.000|2015-06-08 03:04:37.663|2015-06-08 03:04:42.137|
17|MORELOS|1|AMACUZAC|8|1|C|0|2|14|201|411|415|4|81|4|11|31|2|28|115|2|14|107|3|Sin dato|1|3|-|-|Sin dato|10|416|593| |1| |728f38e89a2a58b9c6874c9d1952bc7c8a3f1a594385f7ee9bd49cb5f0024d46|2015-06-07 23:28:00.000|2015-06-08 00:16:19.233|2015-06-08 00:16:21.146|
17|MORELOS|1|AMACUZAC|9|1|B|0|2|14|Sin dato|Sin dato|Sin dato|1|50|7|24|28|6|13|84|2|82|16|2|3|1|2|-|-|Sin dato|23|344|520| |1| |4f25eb2901910c422466ef87df5bc653b2874d863d9452a52edc75fc5e640a9b|2015-06-08 02:50:00.000|2015-06-08 04:40:13.183|2015-06-08 04:40:18.005|
17|MORELOS|1|AMACUZAC|9|1|C|0|2|14| | | | | | | | | | | | | | | | | | |-|-| | | |520| | | | | | | |
17|MORELOS|1|AMACUZAC|9|1|E|0|2|14|171|307|302|1|25|17|16|73|6|8|45|1|88|10|Sin dato|Sin dato|Sin dato|5|-|-|Sin dato|7|302|452| |1| |bfdd66a9dcf37a0f706bde4b793793b9e3d226f90f8c88d5b254f9bfc1e26b08|2015-06-08 03:06:00.000|2015-06-08 05:34:17.145|2015-06-08 05:34:21.512|
17|MORELOS|1|AMACUZAC|10|1|B|0|2|14|251|411|444|3|60|28|42|22|19|13|165|0|47|18|0|3|4|4|-|-|Sin dato|19|447|642| |1| |a214d5463e4967f992be6e951be92b2f857de7ea9500738e116249b8174b7ecf|2015-06-08 03:26:00.000|2015-06-08 05:06:38.435|2015-06-08 05:06:43.399|
17|MORELOS|1|AMACUZAC|10|1|C|0|2|14|282|419|391|2|48|13|35|17|37|12|159|0|40|8|0|0|0|4|-|-|0|16|391|642| |1| |a0720f16f24543d204fabd5ecfab1a1b1acce92c9eb4d771fb4dca392d65b28c|2015-06-08 03:30:00.000|2015-06-08 05:07:17.849|2015-06-08 05:07:24.668|
17|MORELOS|1|AMACUZAC|11|1|B|0|2|14| | | | | | | | | | | | | | | | | | |-|-| | | |692| | | | | | | |
17|MORELOS|2|ATLATLAHUCAN|12|1|B|0|1|14|197|396|396|66|6|10|35|16|27|52|Ilegible|8|0|75|-|-|-|-|-|18|0|7|320|571| |1| |4a8ef9321838e9e08e340bae5f5d8e788ca29d7ac20f42360f4a4a51cfeebd6e|2015-06-08 01:57:00.000|2015-06-08 02:31:48.945|2015-06-08 02:31:52.169|
17|MORELOS|2|ATLATLAHUCAN|12|1|C|0|1|14|189|403|405|60|11|6|39|14|33|51|55|5|2|96|-|-|-|-|-|24|0|9|405|571| |1| |e120009ff08f40ec2229199ecfe8ced41cbd154c823a7a4a71723a3b9db63111|2015-06-07 23:27:00.000|2015-06-08 00:08:54.137|2015-06-08 00:08:55.898|
17|MORELOS|2|ATLATLAHUCAN|12|2|C|0|1|14|207|386|Sin dato|63|6|5|23|13|33|58|56|2|1|54|-|-|-|-|-|16|0|5|335|571| |1| |00c2be25da1a1544497ec313eac56c97163d6cc903c67b53d5db55cdd8c80f49|2015-06-08 00:21:00.000|2015-06-08 01:23:16.491|2015-06-08 01:23:18.693|
17|MORELOS|2|ATLATLAHUCAN|12|3|C|0|1|14|190|397|402|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|-|-|-|-|-|Ilegible|Ilegible|Ilegible|0|570| |1| |e3e6531d8a696576d60ba06c2d6f1490957a6d3482ebf29fbe6a5d6d42b5430e|2015-06-08 01:58:00.000|2015-06-08 02:31:14.340|2015-06-08 02:31:18.379|
17|MORELOS|2|ATLATLAHUCAN|13|1|B|0|1|14|173|438|438|56|14|6|38|10|56|47|82|0|5|106|-|-|-|-|-|14|0|4|438|589| |1| |676cc85374e30c7760449c1f2e7e253decd0b7dc291db148e25668b23600318c|2015-06-08 01:55:00.000|2015-06-08 02:29:57.263|2015-06-08 02:30:00.872|
17|MORELOS|2|ATLATLAHUCAN|13|1|C|0|1|14|198|413|413|68|11|7|23|14|34|70|40|1|2|68|-|-|-|-|-|10|0|10|358|589| |1| |2f0de4f56554a3be1c582bb53f13a58e2f12159c7c95134c520f1faffa3a7bc9|2015-06-08 04:59:00.000|2015-06-08 05:45:53.042|2015-06-08 05:45:57.377|
17|MORELOS|2|ATLATLAHUCAN|13|2|C|0|1|14|161|437|449|71|13|5|33|22|53|53|96|2|2|75|-|-|-|-|-|15|Sin dato|9|449|588| |1| |eabd074a1d2355a97967595cc65064ae236d94a7e1c9aaf3b2eadea92d488983|2015-06-08 04:58:00.000|2015-06-08 05:45:56.980|2015-06-08 05:46:01.196|
17|MORELOS|2|ATLATLAHUCAN|14|1|B|0|1|14| | | | | | | | | | | | | | |-|-|-|-|-| | | | |698| | | | | | | |
17|MORELOS|2|ATLATLAHUCAN|14|1|C|0|1|14| | | | | | | | | | | | | | |-|-|-|-|-| | | | |697| | | | | | | |
17|MORELOS|2|ATLATLAHUCAN|15|1|B|0|1|14| | | | | | | | | | | | | | |-|-|-|-|-| | | | |660| | | | | | | |
17|MORELOS|2|ATLATLAHUCAN|15|1|C|0|1|14|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|-|-|-|-|-|Sin dato|Sin dato|Sin dato|0|660| |1| |ec30f00f51af544d79395d1cda7bd036d5bfaaa04a9a8ecf35d6a09422a55d0c|2015-06-08 05:09:00.000|2015-06-08 13:52:32.302|2015-06-08 14:04:17.208|
17|MORELOS|2|ATLATLAHUCAN|15|2|C|0|1|14|Sin dato|Sin dato|Sin dato|Ilegible|13|15|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|-|-|-|-|-|Ilegible|Ilegible|Ilegible|28|659| |1| |75f89b898f4f599c50a16c2ff7f01ff65a3c1ce7c52303b06043d08ca8d8a4f2|2015-06-08 05:10:00.000|2015-06-08 13:52:48.776|2015-06-08 14:04:32.426|
17|MORELOS|2|ATLATLAHUCAN|16|1|B|0|2|14| | | | | | | | | | | | | | |-|-|-|-|-| | | | |718| | | | | | | |
17|MORELOS|2|ATLATLAHUCAN|17|1|B|0|2|14|251|451|453|90|7|14|14|10|28|27|91|3|Sin dato|127|-|-|-|-|-|26|Sin dato|16|453|683| |1| |e874dbd0cb1ae2c05e4476165e1fbc7e43311443ff98668f3f9d07bcafd2d7e0|2015-06-08 02:36:00.000|2015-06-08 10:18:15.029|2015-06-08 10:18:17.119|
17|MORELOS|2|ATLATLAHUCAN|17|1|C|0|2|14| | | | | | | | | | | | | | |-|-|-|-|-| | | | |683| | | | | | | |
17|MORELOS|2|ATLATLAHUCAN|18|1|B|0|2|14| | | | | | | | | | | | | | |-|-|-|-|-| | | | |504| | | | | | | |
17|MORELOS|2|ATLATLAHUCAN|18|1|C|0|2|14|180|343|344|58|2|5|14|3|25|14|34|2|2|92|-|-|-|-|-|86|Sin dato|7|344|504| |1| |84afe7b06ab41b193f0fd1ac27576d8ce50b2963bdfd7c75f5db633b7d4476f7|2015-06-08 05:17:00.000|2015-06-08 06:42:29.899|2015-06-08 06:42:33.188|
