sep=|
20:11 horas (UTC-5)
lunes 8 de junio de 2015
ACTAS_CAPTURADAS|ACTAS_POR_CAPTURAR|PORCENTAJE_ACTAS_CAPTURADAS|ACTAS_CONTABILIZADAS|ACTAS_NO_CONTABILIZADAS|PARTICIPACION_CIUDADANA
1,512|831|64.53|1,498|14|53.836

ID_ESTADO|ESTADO|ID_DISTRITO|DISTRITO|SECCION|ID_CASILLA|TIPO_CASILLA|EXT_CONTIGUA|UBICACION_CASILLA|TIPO_ACTA|NUM_BOLETAS_SOBRANTES|TOTAL_CIUDADANOS_VOTARON|NUM_BOLETAS_EXTRAIDAS|PAN|PRI|PRD|PT|PVEM|MOVIMIENTO_CIUDADANO|NUEVA_ALIANZA|PSD|MORENA|ES|PH|C_PRI_PV|C_PRI_PANAL|C_PV_PANAL|C_PRI_PV_PANAL|C_PRD_PT|CAND_IND_1|NO_REGISTRADOS|NULOS|TOTAL_VOTOS|LISTA_NOMINAL|OBSERVACIONES|CONTABILIZADA|CRYT|SHA|HORA_ACOPIO|HORA_CAPTURA|HORA_REGISTRO
17|MORELOS|1|CUERNAVACA NORTE|188|1|B|0|2|11|354|325|325|53|50|48|2|16|12|4|51|34|34|13|-|-|-|-|-|-|0|27|344|655| |1| |cfa22a6f149111a1c17f30bdb96413c0bae8e301fab183f3d3e592ddfe6e8169|2015-06-08 02:14:00.000|2015-06-08 02:16:25.971|2015-06-08 02:16:31.565|
17|MORELOS|1|CUERNAVACA NORTE|188|1|C|0|2|11|342|331|Sin dato|68|40|51|2|21|23|6|46|28|19|11|-|-|-|-|-|-|Sin dato|18|333|655| |1| |d8ee1b296e23fabc70a139cfd71cfe2eaa7c6d1027c3c0c15d46d2048bd238b4|2015-06-08 07:24:00.000|2015-06-08 07:31:05.125|2015-06-08 07:31:08.177|
17|MORELOS|1|CUERNAVACA NORTE|188|2|C|0|2|11|313|354|363|92|50|55|2|24|13|6|39|28|20|9|-|-|-|-|-|-|2|23|363|655| |1| |d3d83629128acce29df126691fc4ced3ebbe683bf35462613a024168c311eb2e|2015-06-08 07:30:00.000|2015-06-08 08:02:04.548|2015-06-08 08:02:15.773|
17|MORELOS|1|CUERNAVACA NORTE|188|3|C|0|2|11| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |655| | | | | | | |
17|MORELOS|1|CUERNAVACA NORTE|188|4|C|0|2|11|350|320|327|67|46|51|6|24|14|7|47|15|18|9|-|-|-|-|-|-|1|22|327|655| |1| |8276cd7c2f751e376d6c0acca81ab37a0eed8fc72639e3442e61caef44377f0c|2015-06-08 07:28:00.000|2015-06-08 07:29:34.534|2015-06-08 07:29:39.727|
17|MORELOS|1|CUERNAVACA NORTE|189|1|B|0|1|11| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |721| | | | | | | |
17|MORELOS|1|CUERNAVACA NORTE|189|1|C|0|1|11|386|335|335|51|53|44|3|24|22|14|40|36|12|10|-|-|-|-|-|-|0|26|335|721| |1| |f3388c1910e60f7547978e3075ff59297e7ec78e8c6d074c2f4bba10488941be|2015-06-08 00:49:00.000|2015-06-08 00:51:59.633|2015-06-08 00:52:03.555|
17|MORELOS|1|CUERNAVACA NORTE|190|1|B|0|1|11|421|297|301|52|61|35|2|28|15|9|28|23|12|6|-|-|-|-|-|-|0|30|301|701| |1| |7bff793192b15ba57b3a07bc3a536d8cd64853278f9b8a855b70c274e029f90c|2015-06-07 23:10:00.000|2015-06-07 23:11:24.919|2015-06-07 23:11:30.097|
17|MORELOS|1|CUERNAVACA NORTE|190|1|C|0|1|11|386|324|334|62|55|29|2|30|14|6|53|44|18|4|-|-|-|-|-|-|0|17|334|701| |1| |2dba3f02502d5c9ba7c86af42854f8864ea178a1758c74b411911ee4c9212507|2015-06-07 21:52:00.000|2015-06-07 21:53:03.938|2015-06-07 21:53:05.440|
17|MORELOS|1|CUERNAVACA NORTE|190|2|C|0|1|11|383|330|339|59|47|40|7|37|20|12|32|32|13|13|-|-|-|-|-|-|Sin dato|27|339|701| |1| |3e81e267e125f932f9e24fab03e0c9a51106f503b469ba1e4b4679de988e5398|2015-06-07 23:06:00.000|2015-06-07 23:07:55.042|2015-06-07 23:07:58.614|
