ord,casilla,tipo,pan,pri,pvem,conve,prd.pt.prs,nr,nul,mun
1,1,B,30,150,,52,28,,20,acaponeta
2,2,B,17,126,,40,25,,11,acaponeta
3,2,E,61,58,,10,22,,18,acaponeta
4,3,B,51,152,,46,77,,18,acaponeta
5,3,C,35,159,,47,55,,11,acaponeta
6,4,B,40,216,,37,37,,14,acaponeta
7,5,B,75,259,,50,43,,21,acaponeta
8,6,B,33,206,,61,34,,8,acaponeta
9,7,B,23,233,,63,39,,7,acaponeta
10,8,B,30,238,,123,48,,19,acaponeta
11,9,B,28,280,,139,53,,15,acaponeta
12,10,B,51,278,,142,49,,26,acaponeta
13,11,B,23,140,,56,21,,14,acaponeta
14,12,B,39,263,,83,39,,18,acaponeta
15,13,B,56,241,,54,16,,13,acaponeta
16,14,B,32,102,,45,18,,5,acaponeta
17,15,B,26,182,,50,32,,13,acaponeta
18,16,B,37,222,,93,43,,13,acaponeta
19,17,B,68,201,,73,23,,8,acaponeta
20,18,B,48,208,,89,23,,16,acaponeta
21,19,B,12,63,,2,3,,,acaponeta
22,20,B,17,63,,3,5,,5,acaponeta
23,20,E,13,29,,9,6,,5,acaponeta
24,21,B,41,162,,18,13,,15,acaponeta
25,22,B,15,54,,15,9,,5,acaponeta
26,23,B,66,116,,12,79,,21,acaponeta
27,23,E,25,51,,1,13,,5,acaponeta
28,24,B,71,189,,17,21,,24,acaponeta
29,24,E,15,61,,7,4,,5,acaponeta
30,25,B,22,42,,1,3,,7,acaponeta
31,26,B,29,69,,1,10,,6,acaponeta
32,27,B,5,113,,6,12,,8,acaponeta
33,27,E,,55,,9,2,,2,acaponeta
34,28,B,33,114,,9,22,,6,acaponeta
35,29,B,6,36,,4,2,,5,acaponeta
36,29,E,6,32,,,1,,,acaponeta
37,30,B,24,78,,4,3,,,acaponeta
38,31,B,19,164,,18,4,,9,acaponeta
39,32,B,43,146,,29,9,,4,acaponeta
40,33,B,44,201,,31,81,,26,acaponeta
41,34,B,25,44,,24,5,,7,acaponeta
42,34,E,17,19,,4,5,,3,acaponeta
43,35,B,21,34,,3,4,,6,acaponeta
44,36,B,48,191,,25,107,,,acaponeta
45,37,B,34,86,,1,19,,,acaponeta
46,38,B,214,222,,44,56,,,acaponeta
47,39,B,173,170,,41,43,,43,acaponeta
48,40,B,155,158,,5,21,,22,acaponeta
49,40,E,69,27,,1,6,,4,acaponeta
50,41,B,47,99,,28,24,,13,acaponeta
51,42,B,25,20,,3,8,,3,acaponeta
52,43,B,80,199,,45,44,,25,acaponeta
53,44,B,11,54,,1,3,,3,acaponeta
54,45,B,27,41,,30,16,,1,acaponeta
55,46,B,269,211,,7,20,,,acaponeta
56,47,B,69,155,,76,19,,18,acaponeta
57,47,E,21,18,,6,7,,3,acaponeta
58,48,B,12,40,,32,17,,7,acaponeta
59,49,B,149,64,,57,10,,15,ahuacatlan
60,50,B,237,65,,74,10,,12,ahuacatlan
61,51,B,235,79,,110,6,,27,ahuacatlan
62,52,B,214,109,,136,16,,26,ahuacatlan
63,53,B,203,157,,137,12,,34,ahuacatlan
64,54,B,152,77,,67,25,,9,ahuacatlan
65,54,C,145,93,,84,13,,8,ahuacatlan
66,55,B,10,112,,46,8,,12,ahuacatlan
