ord,yr,munn,mun,secn,casilla,tipo,demarcacion,pan,pt,asd,prd-pvem,conve-prs,pri-panal,nr,nul
1,2008,18001,acaponeta,1,001-B,B,DEM 1,8,0,0,164,6,131,4,10
6,2008,18001,acaponeta,2,002-B,B,DEM 2,3,4,0,105,48,114,0,9
7,2008,18001,acaponeta,2,002-E1,E1,DEM 2,1,7,1,53,17,94,0,16
8,2008,18001,acaponeta,3,003-B,B,DEM 2,23,3,1,187,74,125,0,20
9,2008,18001,acaponeta,3,003-C1,C1,DEM 2,20,7,1,206,83,95,0,17
10,2008,18001,acaponeta,4,004-B,B,DEM 2,4,9,0,143,39,173,3,18
13,2008,18001,acaponeta,5,005-B,B,DEM 3,12,6,1,236,9,212,0,15
14,2008,18001,acaponeta,6,006-B,B,DEM 3,8,2,0,172,3,133,0,0
15,2008,18001,acaponeta,7,007-B,B,DEM 3,7,0,0,235,5,112,0,14
2,2008,18001,acaponeta,8,008-B,B,DEM 1,17,8,0,238,40,173,0,10
3,2008,18001,acaponeta,9,009-B,B,DEM 1,20,6,0,184,31,110,0,3
4,2008,18001,acaponeta,9,009-C1,C1,DEM 1,22,5,0,195,19,102,0,5
5,2008,18001,acaponeta,10,010-B,B,DEM 1,20,0,0,273,92,186,0,15
16,2008,18001,acaponeta,11,011-B,B,DEM 3,13,1,0,134,6,108,0,6
17,2008,18001,acaponeta,12,012-B,B,DEM 3,12,2,0,255,19,175,0,13
18,2008,18001,acaponeta,13,013-B,B,DEM 3,6,7,2,264,8,123,0,0
19,2008,18001,acaponeta,14,014-B,B,DEM 4,9,0,0,91,9,85,0,3
20,2008,18001,acaponeta,15,015-B,B,DEM 4,31,2,0,147,14,107,0,4
21,2008,18001,acaponeta,16,016-B,B,DEM 4,10,7,1,211,128,158,0,9
22,2008,18001,acaponeta,17,017-B,B,DEM 4,23,7,0,220,28,149,0,14
23,2008,18001,acaponeta,18,018-B,B,DEM 4,9,4,0,226,14,190,0,13
24,2008,18001,acaponeta,19,019-B,B,DEM 5,0,3,0,32,0,51,0,3
25,2008,18001,acaponeta,20,020-B,B,DEM 5,2,0,0,18,3,72,0,0
26,2008,18001,acaponeta,20,020-E1,E1,DEM 5,1,2,0,34,1,23,0,5
27,2008,18001,acaponeta,21,021-B,B,DEM 5,3,0,0,41,1,231,0,19
28,2008,18001,acaponeta,22,022-B,B,DEM 5,2,0,0,38,1,74,0,7
29,2008,18001,acaponeta,23,023-B,B,DEM 5,4,9,1,87,40,133,0,17
30,2008,18001,acaponeta,23,023-E1,E1,DEM 5,0,6,0,54,0,29,0,7
11,2008,18001,acaponeta,24,024-B,B,DEM 2,8,5,3,84,92,143,0,38
12,2008,18001,acaponeta,24,024-E1,E1,DEM 2,3,2,0,30,15,53,0,5
45,2008,18001,acaponeta,25,025-B,B,DEM 7,0,1,0,30,0,38,0,0
46,2008,18001,acaponeta,26,026-B,B,DEM 7,1,4,1,61,2,23,0,6
47,2008,18001,acaponeta,27,027-B,B,DEM 7,2,4,0,66,1,67,0,3
48,2008,18001,acaponeta,27,027-E1,E1,DEM 7,0,1,0,41,0,20,0,1
49,2008,18001,acaponeta,28,028-B,B,DEM 7,8,2,0,65,5,96,0,5
50,2008,18001,acaponeta,29,029-B,B,DEM 7,4,5,0,28,8,13,0,6
51,2008,18001,acaponeta,29,029-E1,E1,DEM 7,2,6,0,14,4,16,0,0
52,2008,18001,acaponeta,30,030-B,B,DEM 7,4,2,0,45,3,65,0,6
53,2008,18001,acaponeta,31,031-B,B,DEM 7,3,2,0,41,3,174,0,11
54,2008,18001,acaponeta,32,032-B,B,DEM 7,10,3,1,62,6,165,0,12
31,2008,18001,acaponeta,33,033-B,B,DEM 5,7,4,1,319,2,89,0,0
32,2008,18001,acaponeta,34,034-B,B,DEM 5,4,3,0,49,1,51,0,0
33,2008,18001,acaponeta,34,034-E1,E1,DEM 5,6,1,0,26,6,8,0,0
34,2008,18001,acaponeta,35,035-B,B,DEM 5,2,1,0,18,0,46,0,0
35,2008,18001,acaponeta,36,036-B,B,DEM 5,7,10,1,222,4,166,0,32
36,2008,18001,acaponeta,37,037-B,B,DEM 5,32,0,0,24,1,115,0,17
37,2008,18001,acaponeta,38,038-B,B,DEM 6,125,6,2,69,150,213,0,0
38,2008,18001,acaponeta,39,039-B,B,DEM 6,69,6,3,35,203,174,0,31
39,2008,18001,acaponeta,40,040-B,B,DEM 6,20,0,0,113,50,185,0,0
40,2008,18001,acaponeta,40,040-E1,E1,DEM 6,28,2,0,47,8,30,0,7
41,2008,18001,acaponeta,41,041-B,B,DEM 6,10,2,0,97,3,95,0,0
42,2008,18001,acaponeta,42,042-B,B,DEM 6,2,2,0,39,1,19,0,0
