mun,seccion,casilla,pan,pri,prd,pt,prd,mc,indepValorEresTu,indepAhoraSi,IndepLayin,nr,nul
Acaponeta,1,B,,159,172,13,2,1,,,,0,17
Acaponeta,2,B,,119,156,11,8,4,,,,0,11
Acaponeta,2,E1,,113,144,10,2,2,,,,0,0
Acaponeta,3,B,,197,283,13,8,4,,,,0,13
Acaponeta,3,C1,,217,278,16,1,8,,,,0,0
Acaponeta,4,B,,228,208,7,1,5,,,,0,12
Acaponeta,5,B,,216,314,6,3,4,,,,0,18
Acaponeta,6,B,,158,125,4,7,1,,,,0,10
Acaponeta,7,B,,195,145,9,16,5,,,,0,7
Acaponeta,8,B,,262,245,5,3,6,,,,0,6
Acaponeta,9,B,,208,167,12,9,5,,,,0,5
Acaponeta,9,C1,,197,206,12,2,11,,,,0,0
Acaponeta,10,B,,316,241,23,7,9,,,,0,15
Acaponeta,11,B,,126,73,3,15,6,,,,0,3
Acaponeta,12,B,,253,148,3,11,17,,,,0,5
Acaponeta,13,B,,219,172,4,2,5,,,,0,0
Acaponeta,14,B,,119,62,1,11,0,,,,0,0
Acaponeta,15,B,,157,124,5,16,6,,,,0,5
Acaponeta,16,B,,240,279,13,8,29,,,,0,7
Acaponeta,17,B,,231,238,8,5,13,,,,0,11
Acaponeta,18,B,,290,223,2,9,10,,,,0,7
Acaponeta,19,B,,64,26,1,0,0,,,,1,2
Acaponeta,20,B,,49,64,4,0,0,,,,0,0
Acaponeta,20,E1,,41,33,2,0,0,,,,0,0
Acaponeta,21,B,,205,122,3,1,1,,,,0,10
Acaponeta,22,B,,83,84,1,1,0,,,,0,4
Acaponeta,23,B,,164,131,11,9,1,,,,0,0
Acaponeta,23,E1,,70,38,2,0,0,,,,0,1
Acaponeta,24,B,,237,166,5,1,0,,,,0,15
Acaponeta,24,E1,,60,56,1,0,1,,,,0,5
Acaponeta,25,B,,45,25,1,1,0,,,,0,0
Acaponeta,26,B,,62,53,0,5,0,,,,0,1
Acaponeta,27,B,,107,74,2,22,0,,,,0,14
Acaponeta,27,E1,,13,74,1,0,0,,,,0,0
Acaponeta,28,B,,114,115,3,3,1,,,,0,2
Acaponeta,29,B ,,40,20,0,0,0,,,,0,0
Acaponeta,29,E1 ,,21,17,1,1,0,,,,0,1
Acaponeta,30,B ,,39,111,5,2,0,,,,0,0
