disn,seccion,casilla,pan,pri,prd,pt,prs,mc,nr,nul,
1,653,B,151,102,5,32,2,7,0,9,
1,669,B,160,145,7,29,4,5,0,20,
1,670,B,178,139,10,14,0,8,0,14,
1,671,B,88,54,2,20,0,5,0,0,
1,672,B,49,19,3,4,0,0,0,0,
1,673,B,127,107,13,17,0,5,0,10,
1,674,B,133,75,8,25,1,3,0,5,
1,675,B,89,51,9,46,0,2,0,3,
1,676,B,189,171,10,32,7,3,0,12,
1,676,C1,138,172,13,38,4,7,0,16,
1,680,B,136,98,8,31,8,7,0,14,
1,680,C1,159,100,0,26,5,6,0,12,
1,681,B,204,179,12,46,7,9,0,9,
1,682,B,83,38,0,20,0,2,0,3,
1,683,B,67,39,2,7,0,3,0,3,
1,684,B,85,32,2,15,3,2,0,2,
1,685,B,129,96,10,21,1,7,0,13,
1,686,B,66,81,5,21,0,1,0,9,
1,687,B,183,167,11,38,4,8,0,10,
1,688,B,174,141,8,23,6,12,0,14,
1,689,B,156,88,8,18,1,4,0,14,
1,690,B,120,90,5,25,1,3,0,10,
1,691,B,116,133,10,38,2,7,0,15,
1,692,B,190,170,7,44,6,8,0,14,
1,693,B,170,108,8,27,5,6,0,0,
1,693,C1,200,112,14,37,6,10,0,11,
1,695,B,195,169,0,28,4,10,0,15,
1,695,C1,151,187,16,44,4,7,0,18,
1,695,C2,202,138,7,37,5,4,0,12,
1,695,C3,187,163,0,38,2,13,0,11,
1,696,B,113,140,13,39,5,6,0,0,
1,696,C1,154,107,9,39,1,4,0,7,
1,697,B,139,115,0,25,5,11,0,4,
1,698,B,112,89,9,26,3,11,0,2,
1,699,B,75,83,9,16,2,4,0,0,
1,704,B,84,102,4,10,3,5,0,5,
1,705,B,224,186,0,29,4,5,0,11,
1,706,B,191,177,14,35,2,11,0,8,
1,707,B,157,123,10,29,4,9,0,10,
1,708,B,177,154,9,29,4,17,0,18,
1,709,B,227,150,5,40,1,12,0,11,
1,709,C1,190,158,14,46,1,17,0,13,
1,710,B,171,143,14,29,1,7,0,9,
1,710,C1,152,160,11,27,4,10,0,11,
1,713,B,165,178,6,33,5,11,0,15,
1,713,C1,193,131,12,32,3,10,0,14,
1,714,B,139,160,13,37,10,8,0,12,
1,715,B,131,150,6,30,4,9,1,4,
1,715,C1,164,138,9,35,3,5,0,9,
1,725,B,196,177,0,41,2,6,0,14,
