"disn","mun","seccion","pan.prd.panal","pri.pvem","pt","mc","psi","nul","nr","tot","lisnom"
1,"Honey",502,699,488,0,14,4,42,1,1249,554
1,"Honey",503,343,588,0,18,0,35,0,986,647
1,"Honey",504,540,1079,0,29,NA,49,0,1702,555
1,"Francisco Z. Mena",535,802,643,39,3,80,42,0,1609,720
1,"Francisco Z. Mena",536,742,358,34,2,63,23,0,1222,533
1,"Francisco Z. Mena",537,667,335,59,1,12,39,0,1113,389
1,"Francisco Z. Mena",538,718,569,15,1,29,49,0,1381,645
1,"Francisco Z. Mena",539,338,243,25,2,14,29,0,651,389
1,"Francisco Z. Mena",540,272,232,54,3,26,19,0,606,245
1,"Francisco Z. Mena",541,609,422,36,3,13,59,0,1142,505
1,"Francisco Z. Mena",542,411,505,22,1,15,30,0,984,655
1,"Francisco Z. Mena",543,388,185,9,3,2,13,0,600,747
1,"Jalpan",764,162,293,52,275,510,60,1,1353,356
1,"Jalpan",765,69,448,73,553,298,170,0,1611,458
1,"Jalpan",766,21,228,52,135,123,26,0,585,375
1,"Jalpan",767,73,490,52,351,193,117,0,1276,577
1,"Jalpan",768,98,589,62,737,171,32,2,1691,695
1,"Jalpan",769,9,187,16,123,83,20,0,438,592
1,"Naupan",830,506,417,0,0,0,40,0,963,566
1,"Naupan",831,485,661,0,0,0,52,0,1198,575
1,"Naupan",832,505,641,0,0,0,52,0,1198,474
1,"Naupan",833,528,223,0,0,0,38,0,789,494
1,"Naupan",834,428,515,0,0,0,65,3,1011,397
1,"Pahuatlán",883,326,220,46,7,131,41,0,771,579
1,"Pahuatlán",884,289,191,82,14,193,32,1,802,536
1,"Pahuatlán",885,229,136,19,9,86,29,0,508,709
1,"Pahuatlán",886,80,78,48,7,28,13,0,254,170
1,"Pahuatlán",887,324,204,35,22,149,43,0,777,511
1,"Pahuatlán",888,194,131,34,12,47,23,0,443,632
1,"Pahuatlán",889,296,136,141,28,115,41,0,757,420
1,"Pahuatlán",890,541,202,770,8,90,42,0,1653,748
1,"Pahuatlán",891,109,60,174,5,10,22,0,380,490
