tla2010aycasilla,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ALIANZA POR EL PROGRESO DE TLAXCALA,PARTIDO REVOLUCIONARIO INSTITUCIONAL,UNIDOS POR TLAXCALA,UNIDOS POR SAN PABLO,PARTIDO DE LA REVOLUCION DEMOCRATICA,FORTALEZA POR ESPAÑITA,PARA RECUPERAR PANOTLA,TRANSPARENCIA Y HONESTIDAD POR TLAXCALA,PARTIDO DEL TRABAJO,UNIDAD Y TRABAJO POR TLAXCALA,PARTIDO VERDE ECOLOGISTA DE MEXICO,CONVERGENCIA,PARTIDO SOCIALISTA,PARTIDO ALIANZA CIUDADANA,PARTIDO POPULAR,PARTIDO LIBERAL TLAXCALTECA,PARTIDO DEL PUEBLO TLAXCALTECA,VOTOS NULOS
ord,edon,secn,munn,mun,casilla,tipo,Pan-panal-pac,pri,Pri-pvem-ps,Pri-ps,prd,Prd-conve,Prd-pt,Prd-pt-conve,pt,Pt-conve,pvem,conve,ps,pac,pp,plt,ppt,nul
8,29,1,1,AMAXAC DE GUERRERO,1,B,45,,80,,119,,,,2,,,,47,,1,,10,7
9,29,1,1,AMAXAC DE GUERRERO,1,C,61,,76,,125,,,,7,,,,31,,3,,9,14
10,29,2,1,AMAXAC DE GUERRERO,1,B,72,,163,,103,,,,15,,,,26,,3,,24,52
11,29,2,1,AMAXAC DE GUERRERO,1,C,79,,174,,107,,,,14,,,,41,,2,,28,9
12,29,2,1,AMAXAC DE GUERRERO,2,C,103,,165,,114,,,,12,,,,20,,4,,17,13
13,29,2,1,AMAXAC DE GUERRERO,3,C,66,,162,,98,,,,22,,,,25,,4,,19,33
14,29,3,1,AMAXAC DE GUERRERO,1,B,123,,148,,137,,,,17,,,,49,,7,,35,15
15,29,3,1,AMAXAC DE GUERRERO,1,C,113,,174,,176,,,,31,,,,45,,7,,21,13
16,29,3,1,AMAXAC DE GUERRERO,2,C,129,,172,,108,,,,16,,,,42,,6,,27,10
17,29,4,1,AMAXAC DE GUERRERO,1,B,88,,109,,122,,,,10,,,,37,,3,,11,0
18,29,5,2,APETATITLAN DE ANTONIO CARVAJAL,1,B,140,,132,,61,,,,57,,,7,36,,,,,16
19,29,5,2,APETATITLAN DE ANTONIO CARVAJAL,1,C,149,,154,,40,,,,64,,,5,20,,,,,0
20,29,5,2,APETATITLAN DE ANTONIO CARVAJAL,2,C,125,,187,,54,,,,58,,,3,15,,,,,13
